"mean","sd","X0.025quant","X0.975quant","WeatherCov","HabitatCov","Behavioral State"
1.34,0.156,1.033,1.648,"Wind Chill","Basal Area","Roosting"
1.075,0.145,0.787,1.36,"Snow Depth","Basal Area","Roosting"
0.606,0.21,0.193,1.023,"Wind Chill","Dist. to Forest Edge","Roosting"
0.442,0.206,0.034,0.851,"Snow Depth","Dist. to Forest Edge","Roosting"
0.933,0.12,0.695,1.169,"Wind Chill","Percent Softwood","Roosting"
0.656,0.111,0.433,0.871,"Snow Depth","Percent Softwood","Roosting"
1.439,0.234,0.98,1.904,"Wind Chill","Mean Tree Height","Roosting"
1.429,0.222,0.993,1.871,"Snow Depth","Mean Tree Height","Roosting"
-0.068,0.094,-0.259,0.111,"Wind Chill","Wind Exposure","Roosting"
-0.046,0.081,-0.209,0.112,"Snow Depth","Wind Exposure","Roosting"
0.723,0.085,0.555,0.893,"Wind Chill","Basal Area","Stationary"
0.726,0.086,0.555,0.897,"Snow Depth","Basal Area","Stationary"
0.314,0.127,0.066,0.567,"Wind Chill","Dist. to Forest Edge","Stationary"
0.361,0.122,0.122,0.604,"Snow Depth","Dist. to Forest Edge","Stationary"
0.561,0.139,0.298,0.847,"Wind Chill","Mean Tree Height","Stationary"
0.592,0.137,0.331,0.875,"Snow Depth","Mean Tree Height","Stationary"
-0.082,0.076,-0.237,0.063,"Wind Chill","Wind Exposure","Stationary"
-0.072,0.077,-0.227,0.077,"Snow Depth","Wind Exposure","Stationary"
-0.901,0.279,-1.517,-0.417,"Wind Chill","Agriculture","Stationary"
-0.981,0.259,-1.554,-0.536,"Snow Depth","Agriculture","Stationary"
-0.552,0.142,-0.865,-0.301,"Wind Chill","Developed","Stationary"
-0.601,0.155,-0.933,-0.316,"Snow Depth","Developed","Stationary"
0.51,0.128,0.26,0.766,"Wind Chill","Percent Softwood","Stationary"
0.653,0.13,0.399,0.911,"Snow Depth","Percent Softwood","Stationary"
-0.672,0.162,-1.013,-0.37,"Wind Chill","Food Subsidy","Stationary"
-0.849,0.158,-1.179,-0.556,"Snow Depth","Food Subsidy","Stationary"
-0.196,0.072,-0.337,-0.053,"Wind Chill","Dist. to Forest Edge","Mobile"
-0.123,0.069,-0.258,0.015,"Snow Depth","Dist. to Forest Edge","Mobile"
0.027,0.027,-0.028,0.078,"Wind Chill","Wind Exposure","Mobile"
0.014,0.022,-0.031,0.057,"Snow Depth","Wind Exposure","Mobile"
-0.358,0.092,-0.559,-0.198,"Wind Chill","Agriculture","Mobile"
-0.186,0.089,-0.382,-0.032,"Snow Depth","Agriculture","Mobile"
-0.215,0.143,-0.514,0.054,"Wind Chill","Developed","Mobile"
-0.286,0.143,-0.585,-0.017,"Snow Depth","Developed","Mobile"
-0.009,0.053,-0.113,0.095,"Wind Chill","Percent Softwood","Mobile"
-0.018,0.049,-0.115,0.077,"Snow Depth","Percent Softwood","Mobile"
-0.135,0.077,-0.291,0.012,"Wind Chill","Food Subsidy","Mobile"
-0.056,0.073,-0.204,0.085,"Snow Depth","Food Subsidy","Mobile"
